00:10 kdremeds    : sup guys
00:11 arcosanti   : hola
00:11 kdremeds    : i fixed the spawner
00:11 kdremeds    : hehe
00:11 arcosanti   : hahaha it wasnt fixed before?
00:11 kdremeds    : nah now its one hit with the sword hahaha
00:11 kdremeds    : also cleaned it up
00:11 kdremeds    : can we sleep guys hahah
00:12 arcosanti   : yeah sure
00:12 kdremeds    : also cleaned it up so it looks decent hehe
00:12 kdremeds    : im in bed
00:12 kdremeds    : thanks
00:12 arcosanti   : np
00:21 kdremeds    : ouch'
00:21 arcosanti   : oof
00:21 kdremeds    : speaking of harassment
00:22 arcosanti   : hahaha what
00:22 big_tasty   : im so sorry
00:45 arcosanti   : sleep?
02:27 arcosanti   : sleep?
