09:49 Giniguy   : laggy
09:55 Giniguy placed suspicious WATER_BUCKET @ world: x-937, z-903
10:08 Johann    : youre part of a much bigger world Mr. Isola
10:08 Giniguy   : what
10:08 Johann    : Im here to talk to you about the Ender Initiative
10:09 Giniguy   : what is this avengers vibe
10:09 Johann    : what do we need
10:09 Johann    : to set up end
10:09 Giniguy   : wat
10:09 Giniguy   : ohh
10:09 Giniguy   : we need ender pearls
10:09 Giniguy   : and blaze rods
10:10 Johann    : you seem to have ender pearls
10:10 Johann    : okidoki
10:10 Johann    : so
10:10 Giniguy   : 3 only
10:10 Johann    : what we need
10:10 Johann    : is to set up expedition to nether
10:10 Giniguy   : for blaze?
10:10 Johann    : then kill blaze bois
10:10 Johann    : ye
10:10 Giniguy   : aaah
10:10 Giniguy   : we can make a blaze farm btw
10:10 Johann    : but expedition is cooler!
10:10 Giniguy   : aaah
10:10 Giniguy   : yes
10:10 Giniguy   : let me fortify a village first
10:10 Giniguy   : wanna come?
10:10 Johann    : I will give u a call
10:11 Johann    : when this bone rattles
10:11 Johann    : it will be time
10:11 Johann    : yawa
10:11 Johann    : hahahhahhah
10:11 Giniguy   : HAHAHA
10:11 Johann    : do you have diamond armor na?
10:11 Giniguy   : yea
10:11 Giniguy   : but i dont wanna use it
10:11 Giniguy   : cuz no enchants
10:11 Johann    : noice
10:11 Johann    : i will use iron armor when we go into nether
10:12 Giniguy   : cge2
10:12 Johann    : *not ender initiative anymore doh
10:13 Giniguy   : what is it?
10:13 Johann    : *End Crusade
10:13 Giniguy   : HAHHAHA OMG
10:13 Giniguy   : yikes
10:13 Giniguy   : what a way to start a crusade
10:13 Johann    : nice video game
10:15 Johann    : the glorious crusade!
10:16 Giniguy placed suspicious WATER_BUCKET @ world: x-936, z-915
10:39 Giniguy   : kim?
10:40 Giniguy   : hello kim?
