00:16 kdremeds    : help
00:16 Giniguy     : wat
00:17 Giniguy     : KIIIIIIIIM
00:17 Giniguy     : duuuuuude
00:17 Giniguy     : dont kill him
00:17 kdremeds    : e name tag
00:17 kdremeds    : para di mawala
00:19 kdremeds    : howd you get
00:19 kdremeds    : so much sticky piston
11:30 Giniguy   : testing
11:30 Giniguy   : kagk test
11:31 Giniguy   : testing lag
11:35 Giniguy   : AAAAAAAAH
11:40 Giniguy   : aw
12:09 Giniguy   : ye
12:10 Giniguy   : test
12:36 Giniguy   : test
13:45 lolo_lola_69:  placed a sign @ world: x708, z0
  underwater base
  under const.
