09:33 Giniguy   : hello?
09:39 Giniguy   : hi joh
09:40 Johann    : ni hao
09:40 Giniguy   : how'd the dnd go
09:40 Johann    : nahan ka makakitag banga?
09:40 Johann    : unya pa oy hhahhahah
09:40 Giniguy   : wachu mean
09:40 Giniguy   : aw hahaha
09:40 Johann    : I will DL dota whiel I
09:40 Johann    : go to DnD
09:40 Giniguy   : O_O
09:40 Giniguy   : omg
09:40 Giniguy   : 5th man
09:40 Giniguy   : <3
09:40 Johann    : I will hard carry sven
09:40 Giniguy   : new era for johann
09:40 Giniguy   : is that you dendi?
09:41 Johann    : atay
09:41 Johann    : ahahhaha
09:41 Johann    : pero dili pirmi ha
09:41 Giniguy   : he'll form new org daw
09:41 Giniguy   : yes2
09:59 Giniguy   : joh
09:59 Giniguy   : sleep
09:59 Johann    : omw
09:59 Giniguy   : ayt2
10:01 Johann    : omg gio
10:01 Johann    : ur new villagers
10:01 Johann    : they are all buyers
10:01 Johann    : time to roll in the emeralds
11:46 FKritz placed suspicious WATER_BUCKET @ world: x820, z-399
14:28 Giniguy   : type this /tpa Giniguy
14:29 Giniguy   : do /tpa Ginigu
14:36 Giniguy   : test
14:36 Giniguy   : hi laz
14:36 lazafat   : hi
14:37 Giniguy   : type this /tpa Giniguy
14:37 lazafat   : yes
14:38 lazafat   : ?
14:38 Giniguy   : do /tpaccept
14:47 lazafat   : tpa/ Giniguy
14:48 Giniguy   : test
14:52 Giniguy   : laz
16:58 Giniguy   : wtf?
