00:24 big_tasty    : F
01:20 lolo_lola_69 : joe
01:20 arcosanti    : WAT
01:20 arcosanti    : THERE
01:20 Jhor         : yes?
01:20 arcosanti    : IS NO ELITRA
01:20 big_tasty    : :o
01:20 arcosanti    : i found end ship :000000
01:20 arcosanti    : but no elytra
01:20 big_tasty    : its elytra u fucking
01:20 arcosanti    : so unfair
01:20 Jhor         : oh my
01:20 arcosanti    : joe give me fuckig elytra
01:20 big_tasty    : he'll kiss your peepee :(
01:20 Jhor         : HMMMMMM
01:21 lolo_lola_69 : biig braaain
01:21 arcosanti    : sad brain
01:21 arcosanti    : cuz no elitra
01:21 Jhor         : I'll accept the peepee kiss offer
01:21 arcosanti    : i kill endre dragn but no elit
01:21 arcosanti    : hm i accept
01:22 arcosanti    : give me social securyty numbr
01:22 arcosanti    : i giv peepee touch
